state,x,y
Acre,-237.0,54.0
Alagoas,240.0,40.0
Amapá,17.0,202.0
Amazonas,-153.0,121.0
Bahia,143.0,5.0
Ceará,189.0,107.0
Espírito Santo,175.0,-93.0
Goiás,29.0,-55.0
Maranhão,99.0,113.0
Mato Grosso,-31.0,3.0
Mato Grosso Do Sul,-45.0,-99.0
Minas Gerais,98.0,-75.0
Pará,-20.0,113.0
Paraíba,218.0,78.0
Paraná,10.0,-158.0
Pernambuco,194.0,65.0
Piauí,132.0,70.0
Rio De Janeiro,145.0,-130.0
Rio Grande Do Norte,235.0,98.0
Rio Grande Do Sul,-21.0,-229.0
Rondônia,-135.0,35.0
Roraima,-115.0,214.0
Santa Catarina,29.0,-194.0
São Paulo,46.0,-122.0
Sergipe,224.0,26.0
Tocantins,58.0,39.0
Distrito Federal,82.0,-37.0
